,name,active_from,active_to,position,height,weight,birth_date,colleges,player_id
0,Precious Achiuwa,2021,2024,F,80,225,1999-09-19,['Memphis'],achiupr01
1,Bam Adebayo,2018,2024,C-F,81,255,1997-07-18,['Kentucky'],adebaba01
2,Ochai Agbaji,2023,2024,G,77,215,2000-04-20,['Kansas'],agbajoc01
3,Santi Aldama,2022,2024,F,83,224,2001-01-10,['Loyola (MD)'],aldamsa01
4,Nickeil Alexander-Walker,2020,2024,G,77,205,1998-09-02,['Virginia Tech'],alexani01
5,Grayson Allen,2019,2024,G,76,198,1995-10-08,['Duke'],allengr01
6,Jarrett Allen,2018,2024,C-F,83,243,1998-04-21,['Texas'],allenja01
7,Jose Alvarado,2022,2024,G,72,179,1998-04-12,['Georgia Tech'],alvarjo01
8,Kyle Anderson,2015,2024,F-G,81,230,1993-09-20,['UCLA'],anderky01
9,Giannis Antetokounmpo,2014,2024,F-G,83,242,1994-12-06,[],antetgi01
10,Thanasis Antetokounmpo,2016,2024,F,79,219,1992-07-18,[],antetth01
11,Cole Anthony,2021,2024,G,74,185,2000-05-15,['UNC'],anthoco01
12,OG Anunoby,2018,2024,F,79,232,1997-07-17,['Indiana'],anunoog01
13,Ryan Arcidiacono,2018,2024,G,75,195,1994-03-26,['Villanova'],arcidry01
14,Deni Avdija,2021,2024,G-F,81,210,2001-01-03,[],avdijde01
15,Deandre Ayton,2019,2024,C,84,250,1998-07-23,['Arizona'],aytonde01
16,Udoka Azubuike,2021,2024,C,82,280,1999-09-17,['Kansas'],azubuud01
